timestamp_UTC;price_idm_continuous_qh_vwap_EUR/MWh
31.12.2021 23:00;85.57
31.12.2021 23:15;36.8
31.12.2021 23:30;32.64
31.12.2021 23:45;32.08
01.01.2022 00:00;51.71
01.01.2022 00:15;63.94
01.01.2022 00:30;44.75
01.01.2022 00:45;39.13
01.01.2022 01:00;58.69
01.01.2022 01:15;43.58
01.01.2022 01:30;42.52
01.01.2022 01:45;47.46
01.01.2022 02:00;58.99
01.01.2022 02:15;43.07
01.01.2022 02:30;43.23
01.01.2022 02:45;50.48
01.01.2022 03:00;7.43
01.01.2022 03:15;30.45
01.01.2022 03:30;21.61
01.01.2022 03:45;35.48
01.01.2022 04:00;15.73
01.01.2022 04:15;24.22
01.01.2022 04:30;44.03
01.01.2022 04:45;55.4
01.01.2022 05:00;23.63
01.01.2022 05:15;42.25
01.01.2022 05:30;59.94
01.01.2022 05:45;87.97
01.01.2022 06:00;23.3
01.01.2022 06:15;38.74
01.01.2022 06:30;31.66
01.01.2022 06:45;59.87
01.01.2022 07:00;17.57
01.01.2022 07:15;37.27
01.01.2022 07:30;40.2
01.01.2022 07:45;57.96
01.01.2022 08:00;46.88
01.01.2022 08:15;46.97
01.01.2022 08:30;61.38
01.01.2022 08:45;71.27
01.01.2022 09:00;57.26
01.01.2022 09:15;55.92
01.01.2022 09:30;59.44
01.01.2022 09:45;81.36
01.01.2022 10:00;48.84
01.01.2022 10:15;58.7
01.01.2022 10:30;58.34
01.01.2022 10:45;58.18
01.01.2022 11:00;71.92
01.01.2022 11:15;64.7
01.01.2022 11:30;57.25
01.01.2022 11:45;57.94
01.01.2022 12:00;44.26
01.01.2022 12:15;38.64
01.01.2022 12:30;65.28
01.01.2022 12:45;67.81
01.01.2022 13:00;42.29
01.01.2022 13:15;62.05
01.01.2022 13:30;83.41
01.01.2022 13:45;100.33
01.01.2022 14:00;57.44
01.01.2022 14:15;66.2
01.01.2022 14:30;84.53
01.01.2022 14:45;95.48
01.01.2022 15:00;73.63
01.01.2022 15:15;84.55
01.01.2022 15:30;85.65
01.01.2022 15:45;98.89
01.01.2022 16:00;75.01
01.01.2022 16:15;98.3
01.01.2022 16:30;101.66
01.01.2022 16:45;97.2
01.01.2022 17:00;126.88
01.01.2022 17:15;92.25
01.01.2022 17:30;102.37
01.01.2022 17:45;79.11
01.01.2022 18:00;140.92
01.01.2022 18:15;93.36
01.01.2022 18:30;91.75
01.01.2022 18:45;66.04
01.01.2022 19:00;125.87
01.01.2022 19:15;90.11
01.01.2022 19:30;76.47
01.01.2022 19:45;47.69
01.01.2022 20:00;100.34
01.01.2022 20:15;75.02
01.01.2022 20:30;74.06
01.01.2022 20:45;64.76
01.01.2022 21:00;100.89
01.01.2022 21:15;75.45
01.01.2022 21:30;87.29
01.01.2022 21:45;38.04
01.01.2022 22:00;85.19
01.01.2022 22:15;60.46
01.01.2022 22:30;57.12
01.01.2022 22:45;35.94
01.01.2022 23:00;81.19
01.01.2022 23:15;22.7
01.01.2022 23:30;6.83
01.01.2022 23:45;6.1
02.01.2022 00:00;43.1
02.01.2022 00:15;14.41
02.01.2022 00:30;5.51
02.01.2022 00:45;-107.72
02.01.2022 01:00;17.43
02.01.2022 01:15;7.76
02.01.2022 01:30;-0.87
02.01.2022 01:45;-1.77
02.01.2022 02:00;8.12
02.01.2022 02:15;8.37
02.01.2022 02:30;7.99
02.01.2022 02:45;6.3
02.01.2022 03:00;-0.21
02.01.2022 03:15;-0.29
02.01.2022 03:30;-0.67
02.01.2022 03:45;-1.13
02.01.2022 04:00;3.14
02.01.2022 04:15;2.13
02.01.2022 04:30;0.54
02.01.2022 04:45;-0.65
02.01.2022 05:00;-0.25
02.01.2022 05:15;-0.54
02.01.2022 05:30;1.82
02.01.2022 05:45;5.31
02.01.2022 06:00;-1.41
02.01.2022 06:15;3.16
02.01.2022 06:30;17.53
02.01.2022 06:45;32.61
02.01.2022 07:00;12.16
02.01.2022 07:15;15.55
02.01.2022 07:30;17.84
02.01.2022 07:45;27.96
02.01.2022 08:00;20.07
02.01.2022 08:15;17.98
02.01.2022 08:30;15.21
02.01.2022 08:45;11.8
02.01.2022 09:00;34.95
02.01.2022 09:15;23.2
02.01.2022 09:30;12.74
02.01.2022 09:45;6.05
02.01.2022 10:00;20.21
02.01.2022 10:15;16.71
02.01.2022 10:30;13.87
02.01.2022 10:45;8.66
02.01.2022 11:00;24.27
02.01.2022 11:15;13.36
02.01.2022 11:30;7.28
02.01.2022 11:45;2.98
02.01.2022 12:00;15.57
02.01.2022 12:15;8.92
02.01.2022 12:30;7.03
02.01.2022 12:45;-0.99
02.01.2022 13:00;9.47
02.01.2022 13:15;4.65
02.01.2022 13:30;-1.36
02.01.2022 13:45;0.86
02.01.2022 14:00;-0.04
02.01.2022 14:15;4.28
02.01.2022 14:30;5.54
02.01.2022 14:45;3.87
02.01.2022 15:00;-5.95
02.01.2022 15:15;1.74
02.01.2022 15:30;3.51
02.01.2022 15:45;12.59
02.01.2022 16:00;-1.27
02.01.2022 16:15;2.14
02.01.2022 16:30;13.99
02.01.2022 16:45;10.44
02.01.2022 17:00;16.82
02.01.2022 17:15;28.05
02.01.2022 17:30;16.39
02.01.2022 17:45;14.78
02.01.2022 18:00;34.45
02.01.2022 18:15;14.29
02.01.2022 18:30;15.9
02.01.2022 18:45;7.46
02.01.2022 19:00;51.33
02.01.2022 19:15;26.31
02.01.2022 19:30;18.27
02.01.2022 19:45;13.58
02.01.2022 20:00;26.66
02.01.2022 20:15;31.2
02.01.2022 20:30;23.44
02.01.2022 20:45;20.13
